,,'1 Ngram',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'3 Ngram',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'5 Ngram',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,'50000 characters',,,,,,,,,,,,,,,,,,,,,,,,'500000 characters',,,,,,,,,,,,,,,,,,,,,,,,'1100000 characteres',,,,,,,,,,,,,,,,,,,,,,,,50.000,,,,,,,,,,,,,,,,,,,,,,,,500.000,,,,,,,,,,,,,,,,,,,,,,,,1.100.000,,,,,,,,,,,,,,,,,,,,,,,,50.000,,,,,,,,,,,,,,,,,,,,,,,,500.000,,,,,,,,,,,,,,,,,,,,,,,,1.100.000,,,,,,,,,,,,,,,,,,,,,,,
,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,,'p=0 s=0 d=0',,,,,,'p=0 s=1 d=0',,,,,,'p=1 s=0 d=0',,,,,,'p=1 s=1 d=0',,,,,
,,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3,'score',1,'score',2,'score',3
,'AF','0.94829689781386883318','id','0.92728000000000010417','af','0.92108000000000000984','en','0.95479728783727035868','id','0.93717999999999979099','af','0.93348000000000008747','en','0.93607616456987385867','id','0.91515999999999986247','af','0.91424000000000016364','en','0.94523671420285215738','id','0.92722000000000004416','en','0.92625999999999986123','af','0.95800958009580117203','id','0.94062364374186246962','af','0.91494000000000019757','no','0.96396378378270286547','id','0.95100970605823631487','af','0.93069999999999986073','no','0.94446166677000054079','id','0.92960557763346585158','af','0.90494200000000013517','no','0.95105770634623787441','id','0.94054364326185946332','af','0.92240999999999995218','no','0.95629948353935123606','id','0.94050422093211416552','af','0.92290699238906315216','en','0.96202409664841503911','id','0.95107527663736979306','af','0.93416612424045175622','en','0.94157385496374046419','id','0.93049701998916378720','af','0.91552787464681695262','en','0.94978031558554776304','id','0.94168160611493134660','af','0.92675337001225455147','en','0.07628305132205288885','nl','0.06738269530781229588','af','0.06004240169606783056','de','0.11418456738269533446','nl','0.10716428657146286063','af','0.08530341213648545695','no','0.07130285211408458890','nl','0.06102244089763588647','af','0.05456218248729947234','de','0.10452418096723870011','nl','0.10008400336013441312','af','0.07522300892035678477','no','0.08587485874858748203','nl','0.07897278972789727181','af','0.06241462414624147220','de','0.13963939639396397152','nl','0.12913929139291396853','af','0.08478433913735651528','no','0.07999679996799968773','nl','0.07418074180741805745','af','0.05708257082570825786','de','0.13018130181301812431','nl','0.12007120071200710898','af','0.07745030980123923658','no','0.08634062793183953921','af','0.08619600306547405000','nl','0.05962674307927413875','de','0.14435533284727017356','af','0.14046907571229999556','nl','0.08452038418356451477','no','0.08217953916112269441','af','0.08142597271073541421','nl','0.05516671469727536803','de','0.13539346578254060627','af','0.12959355195896699042','nl','0.07765853481152183713','no','0.00308024641971357642','af','0.00304024321945755519','nl','0.00190015201216097297','de','0.01196095687655011897','af','0.00732058564685174416','nl','0.00324025922073765873','la','0.00286022881830546444','af','0.00272021761740939274','nl','0.00174013921113689088','da','0.01072085766861348606','af','0.00906072485798863417','nl','0.00288023041843347418','la','0.00672609416531831390','af','0.00388205434876088369','nl','0.00216603032442454213','de','0.01919226869176169498','af','0.01164616304628265930','nl','0.00344002752022016167','la','0.00657609206528891616','af','0.00329004606064484898','nl','0.00202602836439710193','de','0.01804825267553746351','af','0.01433220065080911820','nl','0.00327002616020928213','la','0.00922008381894380731','af','0.00381275846802382962','nl','0.00202910751087963465','de','0.02461836086080625499','af','0.01161554958176930392','nl','0.00348277476511043259','la','0.00896279245667241063','af','0.00359093847131476598','nl','0.00192092480756660740','de','0.02337289725743459806','af','0.01415557036375752337','nl','0.00328913576094219499','la'
,'AR','0.40542417727798907290','ar','0.21069555956087168691','fa','0.19383232668879221694','ur','0.50736873959751849217','ar','0.37552529497333120290','ur','0.35865889925449145892','fa','0.40260245968134467098','ar','0.21648281931113522170','fa','0.18906362421626066173','ur','0.50053718514981504484','ar','0.36803507212412628347','ur','0.35891955707539491272','fa','0.33136034208995585049','ar','0.22257420078956838272','fa','0.20765430217255650969','ur','0.44527735389127809373','ar','0.38756304990124224030','ur','0.38322098202943727374','fa','0.33076776155152554093','ar','0.22677058258400897839','fa','0.20414779744750927160','ur','0.44440096200763362644','ar','0.38219590984362128427','ur','0.38047975282254226093','fa','0.32775792194347713737','ar','0.21822568537728692650','fa','0.20660126050142627041','ur','0.44240228818429350177','ar','0.38801425833953256950','ur','0.37803630597252335654','fa','0.33035805783853589013','ar','0.22205604353969879416','fa','0.20265642834907129921','ur','0.44231192772581873207','ar','0.38296878060610572980','ur','0.37618913533606695987','fa','0.00224919789633843889','ar','0.00000000000000000000','hi','0.00000000000000000000','fi','0.01510153436431316450','ar','0.00000000000000000000','cs','0.00000000000000000000','ro','0.00191465195521661573','ar','0.00000000000000000000','es','0.00000000000000000000','cr','0.01351996657315107132','ar','0.00000000000000000000','id','0.00000000000000000000','fa','0.00091182543259304288','ar','0.00000411899784782362','ur','0.00000000000000000000','bg','0.00714940421631530751','ar','0.00000423436355398602','fa','0.00000204045820529458','ur','0.00078206465067778928','ar','0.00000411693749253805','ur','0.00000000000000000000','he','0.00690548550170036381','ar','0.00000423250862902697','fa','0.00000203937627715939','ur','0.00100201892498829096','ar','0.00001226721774783318','ur','0.00000299466350962584','fa','0.00642926230321560956','ar','0.00001468295103823146','fa','0.00001026721835853313','ur','0.00096215595807960525','ar','0.00001226336423701121','ur','0.00000298326685620355','fa','0.00622783948921249407','ar','0.00001466562377786469','fa','0.00001026035176216878','ur','0.00013231451159405908','ar','0.00000000000000000000','pl','0.00000000000000000000','de','0.00033291970582004178','ar','0.00000000000000000000','ro','0.00000000000000000000','cs','0.00012981533768214717','ar','0.00000000000000000000','ur','0.00000000000000000000','id','0.00032831900668576889','ar','0.00000000000000000000','es','0.00000000000000000000','cr','0.00002620201755535178','ar','0.00000000000000000000','sv','0.00000000000000000000','pt','0.00012138688228940617','ar','0.00000000000000000000','es','0.00000000000000000000','cr','0.00002581084778310629','ar','0.00000000000000000000','fr','0.00000000000000000000','kn','0.00014613546014093402','ar','0.00000000000000000000','fr','0.00000000000000000000','bg','0.00002862917771275774','ar','0.00000000000000000000','pl','0.00000000000000000000','bn','0.00018428556629645975','ar','0.00000000000000000000','hu','0.00000000000000000000','ja','0.00002960486612907270','ar','0.00000000000000000000','te','0.00000000000000000000','sr','0.00022351363433169419','ar','0.00000000000000000000','sq','0.00000000000000000000','pt'
,'BG','0.94769999999999998685','bg','0.92166000000000025683','ru','0.82179861583390023672','uk','0.95730000000000015081','bg','0.92905999999999988592','ru','0.84708164979797584415','uk','0.94076000000000026269','bg','0.91379999999999994564','ru','0.81447773732847938977','uk','0.95128000000000012548','bg','0.92205999999999999073','ru','0.84160099211905436967','uk','0.94198541985419848022','bg','0.88901112969171325329','ru','0.82890330891619079523','uk','0.95221171327027975817','bg','0.90102834191118374996','ru','0.85483741918965627793','uk','0.93402134021340188497','bg','0.87577336600490096608','ru','0.82163417493128931834','uk','0.94709768258609539071','bg','0.89009483308696613069','ru','0.84579826217755882389','uk','0.94184551775298563925','bg','0.89325267507074102014','ru','0.83415115354017499438','uk','0.95077955254138690755','bg','0.90509806702800221778','ru','0.86085936647634286878','uk','0.93429843389342981386','bg','0.88135499211209444859','ru','0.82673940220479613661','uk','0.94394039945817720394','bg','0.89578266202468237456','ru','0.85307669927628460016','uk','0.03406136245449817301','bg','0.03348133925357014984','ru','0.01748279724755960607','uk','0.10404416176647067471','bg','0.08610344413776552241','ru','0.04340694511121778731','uk','0.03140125605024200739','bg','0.03002120084803392222','ru','0.01602256361017763420','uk','0.09422376895075801340','bg','0.07798311932477300368','ru','0.04044647143542964840','uk','0.03095043330606628978','bg','0.02638211561003516933','ru','0.01905504880780925156','uk','0.09802898028980287781','bg','0.06403109241512294769','ru','0.04844839518816482921','uk','0.02858440018160255530','bg','0.02359963434368893276','ru','0.01791086573851816480','uk','0.08935889358893588097','bg','0.05828427636724414773','ru','0.04340172902823172946','uk','0.03151597026133155094','bg','0.02651161775697366205','ru','0.02006595306912707655','uk','0.09730197056695165381','bg','0.06469589664368387283','ru','0.05005646080747138543','uk','0.02899943362967016477','bg','0.02368558161019037461','ru','0.01860487529014714231','uk','0.08799550540551349942','bg','0.05924814627914695014','ru','0.04552232156657374379','uk','0.00262020961676934097','ru','0.00200016001280102409','bg','0.00012002400480096018','uk','0.00724057924633970777','ru','0.00616049283942715197','bg','0.00102020404080816157','uk','0.00244019521561724849','ru','0.00204016321305704445','bg','0.00014002800560112023','uk','0.00632050564045123602','ru','0.00518041443315464967','bg','0.00076015203040608124','uk','0.00214203855669402006','bg','0.00068811009761561852','ru','0.00051208398177301074','uk','0.00605808481318738466','bg','0.00242435395567752862','ru','0.00118416104590224293','uk','0.00215403877269790874','bg','0.00063209987177974107','ru','0.00048607971707360009','uk','0.00530407425703959857','bg','0.00195428532565754655','ru','0.00101401419619874663','sr','0.00219094892634411498','bg','0.00066649693575078657','ru','0.00062091812244541734','sr','0.00619098788530035929','bg','0.00244134187424134086','ru','0.00133728974732405656','sr','0.00216548407478283668','bg','0.00062012346094358786','ru','0.00056273443480189746','sr','0.00528279450829374428','bg','0.00199579383040571386','ru','0.00125274321673184922','sr'
,'BN','0.37401931672553367925','bn','0.00003426182889642649','ta','0.00002000000000000000','en','0.50007160246312476470','bn','0.30437833286556270629','hi','0.26497599039615848948','gu','0.35961746105198216794','bn','0.00003366549959601400','ta','0.00002000000000000000','bs','0.48385539431459961834','bn','0.29274927825893848343','hi','0.25401662869485458485','gu','0.42135633025669522178','bn','0.00084525293454058685','gu','0.00032337281042989376','hi','0.55336049409094723028','bn','0.29005683596083492448','hi','0.25574320532586669596','gu','0.40858419207512192139','bn','0.00082551184946775364','gu','0.00031696317892100710','hi','0.54143855553675535042','bn','0.27896323459109240162','hi','0.24601379374757384455','gu','0.42735605575884799689','bn','0.00040864647872934987','gu','0.00016319108510415089','hi','0.55903943751460427602','bn','0.29043745883914723338','hi','0.25713381670806989554','gu','0.41462679265247148752','bn','0.00039894806781530463','gu','0.00016001142938781342','hi','0.54607718529816251518','bn','0.27881684011425628134','hi','0.24554492764779348168','gu','0.00487637147947860266','bn','0.00000000000000000000','sq','0.00000000000000000000','af','0.01804485435224700840','bn','0.00000000000000000000','el','0.00000000000000000000','no','0.00465862462592169825','bn','0.00000000000000000000','sr','0.00000000000000000000','ko','0.01689812842577603780','bn','0.00000000000000000000','hi','0.00000000000000000000','fi','0.00460551651862093313','bn','0.00000000000000000000','gu','0.00000000000000000000','af','0.02203672209533654239','bn','0.00000000000000000000','he','0.00000000000000000000','ml','0.00440169699467113807','bn','0.00000000000000000000','ro','0.00000000000000000000','cs','0.02129654855962948012','bn','0.00000000000000000000','es','0.00000000000000000000','cr','0.00509566595206565557','bn','0.00000000000000000000','th','0.00000000000000000000','el','0.02188747111951270044','bn','0.00000000000000000000','da','0.00000000000000000000','la','0.00495202987715211412','bn','0.00000000000000000000','cs','0.00000000000000000000','ro','0.02109858651854420314','bn','0.00000000000000000000','ro','0.00000000000000000000','cs','0.00006252149176279346','bn','0.00000000000000000000','fr','0.00000000000000000000','ar','0.00246340694909913827','bn','0.00000000000000000000','de','0.00000000000000000000','pl','0.00006170744500323964','bn','0.00000000000000000000','de','0.00000000000000000000','pl','0.00235735181345678646','bn','0.00000000000000000000','bs','0.00000000000000000000','la','0.00005997626202681885','bn','0.00000000000000000000','ja','0.00000000000000000000','hu','0.00185084125210421358','bn','0.00000000000000000000','el','0.00000000000000000000','ta','0.00005619222736623908','bn','0.00000000000000000000','es','0.00000000000000000000','cr','0.00174652201219984348','bn','0.00000000000000000000','cs','0.00000000000000000000','ro','0.00012077798274887810','bn','0.00000000000000000000','de','0.00000000000000000000','pl','0.00229600476791842019','bn','0.00000000000000000000','pl','0.00000000000000000000','de','0.00011946343849908411','bn','0.00000000000000000000','ro','0.00000000000000000000','cs','0.00222132129509288855','bn','0.00000000000000000000','es','0.00000000000000000000','cr'
,'BS','0.92985999999999990884','bs','0.91685999999999978627','cr','0.90901999999999993918','fi','0.94063999999999992063','bs','0.93145999999999995467','cr','0.92171999999999998376','fi','0.92411999999999994149','bs','0.90644000000000002348','fi','0.90437999999999985068','cr','0.93492000000000008431','bs','0.91922000000000003705','cr','0.91833999999999982311','fi','0.92306246124922486374','bs','0.92269999999999985363','cr','0.90946109461094626347','id','0.93508199999999996876','cr','0.93485921831061957743','bs','0.92648755892535361589','af','0.91396696760361118006','bs','0.90777400000000019187','cr','0.90097399999999994158','fi','0.92683712204546453428','bs','0.92202399999999984370','cr','0.91591149546897288047','af','0.92597636363636370849','cr','0.92218285819221845756','bs','0.90828709793843021014','id','0.93831181818181808030','cr','0.93400479459340035593','bs','0.92278062829319396076','af','0.91199548359119975149','bs','0.90843000000000007077','cr','0.89859727272727274450','fi','0.92454651819245448063','bs','0.92237363636363634001','cr','0.91440233819244631785','nl','0.04926197047881914620','bs','0.04366174646985879898','cr','0.03370269621569726287','sr','0.07090283611344454229','bs','0.06118244729789192038','cr','0.04380350428034242988','sr','0.04520180807232289377','bs','0.03942157686307452835','cr','0.03034242739419153873','sr','0.06864274570982839552','bs','0.05944237769510780922','cr','0.04186334906792542332','sr','0.04718913253918094464','bs','0.03881415525662101212','cr','0.03073612294449177412','pt','0.06541704667274676754','bs','0.05399621598486394058','cr','0.04066816267265069978','it','0.04337669402710443017','bs','0.03528814115256462963','cr','0.02710810843243373000','la','0.06324301188819023145','bs','0.05143820575282300606','cr','0.03677814711258844960','la','0.04625691030894001771','bs','0.03757370467946304082','cr','0.03079025192024297669','pt','0.06447167102883943901','bs','0.05183736697703086177','cr','0.04006109118677812775','it','0.04245231989105325426','bs','0.03377187958523560074','cr','0.02567251834140931235','la','0.06247255649384948067','bs','0.04950099909272561577','cr','0.03647315831914377249','la','0.00436034882790623229','bs','0.00158012641011280900','cr','0.00060007200864103688','sr','0.00594047523801903826','bs','0.00306024481958556581','cr','0.00082006560524841999','fr','0.00392031362509000659','bs','0.00172013761100888113','cr','0.00064005120409632761','fr','0.00572045763661092627','bs','0.00300024001920153527','cr','0.00086006880550444035','fr','0.00319608949050573547','bs','0.00107800862406899232','cr','0.00050200702809839336','sr','0.00478609572191443771','bs','0.00214601716813734439','cr','0.00086801909642012138','es','0.00304406088121762309','bs','0.00106200849606796852','cr','0.00046000368002944021','la','0.00465809316186323839','bs','0.00195001560012479994','cr','0.00083401834840366492','es','0.00298004063691777524','bs','0.00107454936199768004','cr','0.00044364967312655743','la','0.00467551830252230845','bs','0.00167364244960890775','cr','0.00090364868611844706','es','0.00287367555012113703','bs','0.00101818552067462105','cr','0.00042910339209867917','la','0.00452369805042796176','bs','0.00158364212233499035','cr','0.00086637545057432607','es'
,'CR','0.90211412684761083103','id','0.89736000000000015753','bs','0.88599999999999989875','cr','0.91559493569614192054','id','0.91377999999999992564','bs','0.90494000000000007766','cr','0.87093225593535616991','id','0.86864000000000007873','bs','0.86583999999999994301','la','0.89065343920635231534','id','0.88916000000000017245','bs','0.88131999999999999229','la','0.90881108811088118227','id','0.89223184463689275692','bs','0.89184799999999986309','cr','0.92157152942917686111','id','0.91013799999999989154','cr','0.90940345642073849852','af','0.87767726606359630637','id','0.87705799999999989325','la','0.86093516561099359130','af','0.89349336096016584996','id','0.89311599999999979893','la','0.88555731334388021470','af','0.90713253883909539255','id','0.89265999999999989800','cr','0.89207073888920707105','bs','0.92025905760704462821','id','0.91132181818181823285','cr','0.90862363169086235448','bs','0.87516397921066357846','id','0.86414472368387551526','la','0.85676038578567603743','bs','0.89238691002711856282','id','0.88941707598894181874','la','0.88106593114884068640','af','0.04464178567142684795','bs','0.04066162646505860206','cr','0.03684294743579485942','sr','0.08750700056004483141','sr','0.08700348013920557178','cr','0.08352334093363733558','bs','0.04194167766710667905','bs','0.03794151766070644194','cr','0.03350268021441715066','sr','0.07508300332013280454','cr','0.07484598767901431970','sr','0.07226289051562059806','bs','0.07508300332013280454','cr','0.04211101066425595313','bs','0.03091630916309162647','sr','0.09579038316153265509','cr','0.08369533912542599652','bs','0.07440274402744022353','sr','0.04031616126464505206','cr','0.03984263748219971091','bs','0.02863628636286363188','sr','0.08444233776935104741','cr','0.07209915358645738181','bs','0.06402864028640285754','sr','0.04316916939848982476','cr','0.04112139507103264313','bs','0.02166663939359227825','sr','0.09389835254245915142','cr','0.08194005929160982915','bs','0.05354785688571148811','sr','0.03992734532244605200','cr','0.03832681658965060578','bs','0.02063295235948027842','sr','0.08124923863497934828','cr','0.07006537349986866059','bs','0.04781233977097933824','sr','0.00314025122009760783','cr','0.00308024641971357729','bs','0.00128015361843421228','sr','0.00602048163853107898','cr','0.00464055686682401762','sr','0.00422033762701016016','bs','0.00306024481958556624','cr','0.00268021441715337195','bs','0.00114013681641797027','sr','0.00550044003520281429','cr','0.00392047045645477123','sr','0.00366029282342587425','bs','0.00406203249625997076','cr','0.00273007644214037998','bs','0.00217003038042532610','sr','0.00803806430451443552','cr','0.00616008624120737563','sr','0.00453009060181203734','bs','0.00393403147225177864','cr','0.00259405188103762089','bs','0.00210002940041160557','sr','0.00740805926447411344','cr','0.00548007672107409666','sr','0.00395407908158162957','bs','0.00365274055542020052','cr','0.00229912226075810067','bs','0.00136820171929773540','sr','0.00652638736868133874','cr','0.00397641786024354772','bs','0.00379277554441601961','sr','0.00347455808930214162','cr','0.00214366559543993727','bs','0.00133183513244714002','sr','0.00583002120007709151','cr','0.00342458904022414782','sr','0.00341731932708173348','bs'
